Group,Name,Description,ID,Tag1:Category,Tag2:Building,Tag5:Floor,Tag5:RoomName
図書委員会,図書委員会ビブリオバトル,学校内から集めたビブリオバトルのバトラーをトーナメント形式で対戦してもらい、『逗子開成ビブリオチャンピオン』を決める企画です。,919214414,公演,中学・メディア棟,1F,図書室
模擬国連and日本語ディベート,MOGIディベート,私たちは模擬国連と日本語ディベートの資料展示を行います。模擬国連とは各国の立場になりきって決められた議題に取り組んでいく教育活動を指します。今年は浅野高校とのディベート企画も用意しているのでぜひ教室へお越しください。,917175949,展示,中学・メディア棟,2F,J202教室
うみけん,UMIKEN DAYS,うみけんは海流や波、海洋生物など海に関することを対象に研究をする団体です。開成祭では、日頃の研究成果の展示だけでなく、生徒たちによる実験と地球儀工作も行っています。ぜひ、一度足を運んでみてください！,919231840,展示:体験,中学・メディア棟,2F,J203教室
中学メディア委員会,ズカイクエスト,逗子開成の校舎をVRツアーで探検！各所にあるクイズに挑戦して、正解数に応じて景品がもらえます！みなさんぜひご参加ください！,918122539,体験,中学・メディア棟,2F,J205教室
MOANA,環境を考えるウニランタン工房,私たちは日ごろ恩恵を受けている海を中心に、環境保護に取り組む有志団体です。“磯焼け”をご存じですか？その原因とされるウニを使ってランタンを作るワークショップを行っています！,920115335,展示:体験,中学・メディア棟,2F,J204教室
軽音部,パシヒカ～ロックンロールジャキーン‼︎～,こんにちは高校軽音部です！私たち軽音部は開成祭の期間中、AVC教室で常にライブを行っています！ポップスからロックまで幅広い曲の演奏をお届けします！AVC教室でお待ちしています！「ロックンロールジャキーン‼︎」,917174642,公演,中学・メディア棟,2F,AVC教室
中学1年生,一隻二越,中１は1隻で、その船で成し遂げられていることの倍以上のことを成し遂げる思いで一隻二越とテーマを決めて学年の発表頑張ります。,922164302,公演:展示,中学・メディア棟:体育館,1F:,J101教室;J102教室;J103教室:
開成ウッディ,開成ウッディの青春バズーカ！,トイ・ストーリー・マニア！を参考にしたアトラクション！的当てや輪投げなどのミニゲームです得点を競い、友達や兄弟と対戦して勝利を目指そう！,926113859,体験,本館,3F,308教室
美術部,Alice in Wonder Art,ここは世界のどこかにひそむ、美術と不思議が交錯した"Art”の世界。アリスはこの世界に迷い込み貴方を誘う───。時間が溶けるこの世界に、あなたも、ぜひ。(……アリス関連の置物もあるらしい。),920115439,展示,本館,2F,206教室
高校1年生,New zushiland,昨年３月の研修旅行で行われたニュージーランドの星空プラネタリウムやクイズ大会、座談会、レポート、大迫力ハカ実演でNZの魅力を完全再現しました！NZに旅行した気分になれる展示です。,919224102,公演:展示,本館,2F,211教室;212教室
高校水泳部,The House of Pirates,プールを超え、海賊になった水泳部の船が文化祭に出航！「The House of Pirates」では運や戦略を試しながら楽しめるカジノをお届けします。財宝を手に入れ、舵ノ王になるのは誰だ？！ぜひ、立ち寄って一勝負してみてください。,920184233,体験,本館,2F,208教室
高校バレーボール部,V shot,私たち高校バレーボール部はディズニーをモチーフにした的当て系の縁日を開催します。全員理系の高２によって計算しつくされた難題を君たちの持ち前のコントロール力で制覇しよう！,918203652,体験,本館,2F,210教室
高1有志,ZRA,新世代カーレース系ギャンブルがついに開幕！「こりゃあマ◯オカートで良いですね」とは言わせない！今すぐ特設コースで君の実力を試そう！景品が君を待っている！,919181646,体験,本館,2F,209教室
奇術部,キ。奇術部のマジックについて,奇術部ではマジックや大道芸などの人を楽しませる活動をしています！開成祭ではステージで時間を決めて公演するステージマジックと常時披露しているトランプマジックをやっているので、ぜひご覧になってください！,919163704,公演,本館,2F,207教室
写真部,写真部LIFE,ーー日常のひとかけら、特別な瞬間、切り取った１フレームから広がる無限の可能性ーー部員16名による逗子開成生ならではの鮮明な青春の1枚、ぜひご覧ください。,920002002,展示,本館,2F,204教室
逗子活性化プロジェクト,逗子開成をフェアトレードスクールに！,僕たちはわが校オリジナルコーヒーの逗開珈琲やフェアトレードクッキーなどのフェアトレード商品を販売しています！！「フェアトレード」って知っている？受験に出るかも？ぜひ寄ってみてね！,919172712,物販:展示,本館,2F,205教室
