,体育館;lightgreen,徳間記念ホール;pink,ステージ;lightblue
9:00,,,
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,Promotion league\nfinal;eventsonstage
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,Promotion league\nfinal;eventsonstage
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,Promotion league\nfinal;eventsonstage
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,Promotion league\nfinal;eventsonstage
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,Promotion league\nfinal;eventsonstage
9:30,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,Promotion league\nfinal;eventsonstage
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,Promotion league\nfinal;eventsonstage
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,Promotion league\nfinal;eventsonstage
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,バンド2;eventsonstage
10:00,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,バンド2;eventsonstage
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,バンド2;eventsonstage
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,バンド2;eventsonstage
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,バンド2;eventsonstage
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,バンド2;eventsonstage
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,バンド2;eventsonstage
10:30,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,バンド2;eventsonstage
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,バンド2;eventsonstage
,中学2年『流星群』;event919210428,PIANO LIVE;event919213428,
,,,
,,,筋肉自慢;eventsonstage
,,,筋肉自慢;eventsonstage
11:00,,,筋肉自慢;eventsonstage
,響宴;event918203842,ダンス公演;event919232432,筋肉自慢;eventsonstage
,響宴;event918203842,ダンス公演;event919232432,筋肉自慢;eventsonstage
,響宴;event918203842,ダンス公演;event919232432,筋肉自慢;eventsonstage
,響宴;event918203842,ダンス公演;event919232432,筋肉自慢;eventsonstage
,響宴;event918203842,ダンス公演;event919232432,筋肉自慢;eventsonstage
11:30,響宴;event918203842,ダンス公演;event919232432,
,響宴;event918203842,ダンス公演;event919232432,
,響宴;event918203842,ダンス公演;event919232432,BINGO;eventsonstage
,,ダンス公演;event919232432,BINGO;eventsonstage
,,ダンス公演;event919232432,BINGO;eventsonstage
,,ダンス公演;event919232432,BINGO;eventsonstage
12:00,,ダンス公演;event919232432,BINGO;eventsonstage
,吹奏楽部公演2025\n「Adventure」;event919182746,ダンス公演;event919232432,BINGO;eventsonstage
,吹奏楽部公演2025\n「Adventure」;event919182746,ダンス公演;event919232432,BINGO;eventsonstage
,吹奏楽部公演2025\n「Adventure」;event919182746,ダンス公演;event919232432,BINGO;eventsonstage
,吹奏楽部公演2025\n「Adventure」;event919182746,ダンス公演;event919232432,BINGO;eventsonstage
,吹奏楽部公演2025\n「Adventure」;event919182746,ダンス公演;event919232432,
12:30,吹奏楽部公演2025\n「Adventure」;event919182746,ダンス公演;event919232432,
,吹奏楽部公演2025\n「Adventure」;event919182746,ダンス公演;event919232432,コスプレ;eventsonstage
,吹奏楽部公演2025\n「Adventure」;event919182746,ダンス公演;event919232432,コスプレ;eventsonstage
,,ダンス公演;event919232432,コスプレ;eventsonstage
,,ダンス公演;event919232432,コスプレ;eventsonstage
,,,コスプレ;eventsonstage
13:00,,,コスプレ;eventsonstage
,さいりうみ#ヲタ芸;event919234836,中学演劇部\n『アルキメデス・スリッパー』;event924151655,コスプレ;eventsonstage
,さいりうみ#ヲタ芸;event919234836,中学演劇部\n『アルキメデス・スリッパー』;event924151655,コスプレ;eventsonstage
,さいりうみ#ヲタ芸;event919234836,中学演劇部\n『アルキメデス・スリッパー』;event924151655,
,さいりうみ#ヲタ芸;event919234836,中学演劇部\n『アルキメデス・スリッパー』;event924151655,
,さいりうみ#ヲタ芸;event919234836,中学演劇部\n『アルキメデス・スリッパー』;event924151655,のど自慢2;eventsonstage
13:30,さいりうみ#ヲタ芸;event919234836,中学演劇部\n『アルキメデス・スリッパー』;event924151655,のど自慢2;eventsonstage
,さいりうみ#ヲタ芸;event919234836,中学演劇部\n『アルキメデス・スリッパー』;event924151655,のど自慢2;eventsonstage
,さいりうみ#ヲタ芸;event919234836,中学演劇部\n『アルキメデス・スリッパー』;event924151655,のど自慢2;eventsonstage
,,中学演劇部\n『アルキメデス・スリッパー』;event924151655,のど自慢2;eventsonstage
,,中学演劇部\n『アルキメデス・スリッパー』;event924151655,のど自慢2;eventsonstage
,,中学演劇部\n『アルキメデス・スリッパー』;event924151655,のど自慢2;eventsonstage
14:00,,中学演劇部\n『アルキメデス・スリッパー』;event924151655,
,,中学演劇部\n『アルキメデス・スリッパー』;event924151655,
,,中学演劇部\n『アルキメデス・スリッパー』;event924151655,結果発表;eventsonstage
,,中学演劇部\n『アルキメデス・スリッパー』;event924151655,結果発表;eventsonstage
,,中学演劇部\n『アルキメデス・スリッパー』;event924151655,結果発表;eventsonstage
,,中学演劇部\n『アルキメデス・スリッパー』;event924151655,結果発表;eventsonstage
14:30,,中学演劇部\n『アルキメデス・スリッパー』;event924151655,結果発表;eventsonstage
,,中学演劇部\n『アルキメデス・スリッパー』;event924151655,ファイナル;eventsonstage
,,中学演劇部\n『アルキメデス・スリッパー』;event924151655,ファイナル;eventsonstage
,,,ファイナル;eventsonstage
,,,ファイナル;eventsonstage
,,,ファイナル;eventsonstage
15:00,,,ファイナル;eventsonstage
,,,ファイナル;eventsonstage
,,,ファイナル;eventsonstage
,,,ファイナル;eventsonstage
,,,ファイナル;eventsonstage
,,,ファイナル;eventsonstage
15:30,,,ファイナル;eventsonstage
 ,,,
